20210318000		2021.03.18		еёдл				6.000000		500
20210424001		2021.04.24		©╖╥х╤╧				5.000000		453
20210501002		2021.05.01		фоля				5.000000		1435
20210420003		2021.04.20		╡щщ╝				7.000000		754
20210328004		2021.03.28		╟влг				6.000000		452
20210423005		2021.04.23		╡Хр╤				4.000000		346
20210430006		2021.04.30		длсм				5.000000		89
20210318007		2021.03.18		кАдл				34.000000		65
20210317008		2021.03.17		длсм				4.000000		36
20210428009		2021.04.28		©╖╥х╤╧				36.000000		643
20210521010		2021.05.21		фоля				6.000000		7756
20210520011		2021.05.20		╟влг				74.000000		5
20210318012		2021.03.18		еёдл				5.000000		453
20210417013		2021.04.17		╡Хр╤				6.000000		34
20210406014		2021.04.06		©╖╥х╤╧				6.000000		5
20210308015		2021.03.08		кАдл				32.000000		5
20210426016		2021.04.26		длсм				35.000000		5
20210306017		2021.03.06		╡Хр╤				5.000000		4356
20210523018		2021.05.23		кАдл				6.000000		43
20210415019		2021.04.15		╡щщ╝				2.000000		8
20210308020		2021.03.08		фоля				5.000000		876
20210524021		2021.05.24		╟влг				56.000000		13
20210318022		2021.03.18		©╖╥х╤╧				64.000000		67
20210515023		2021.05.15		длсм				6.000000		76
20210403024		2021.04.03		длсм				77.000000		5
20210313025		2021.03.13		╡щщ╝				87.000000		4
20210508026		2021.05.08		длсм				5.000000		246
20210404027		2021.04.04		©╖╥х╤╧				67.000000		423
20210328028		2021.03.28		╟влг				7.000000		25
20210417029		2021.04.17		╡Хр╤				5.000000		2434
